,year,avg_temp
21,1764,10.63
22,1765,9.78
23,1766,10.49
24,1767,9.41
25,1768,8.95
26,1769,9.79
27,1770,9.66
28,1771,10.44
29,1772,10.27
30,1773,10.42
31,1774,10.27
32,1775,10.99
33,1776,9.98
34,1777,9.67
35,1778,7.63
36,1779,10.32
37,1780,12.54
38,1781,10.18
39,1782,9.69
40,1783,9.44
41,1784,9.4
42,1785,9.2
43,1786,9.75
44,1787,9.78
45,1788,10.28
46,1789,10.03
47,1790,9.93
48,1791,10.12
49,1792,9.62
50,1793,10.2
51,1794,10.3
52,1795,10.01
53,1796,9.92
54,1797,9.66
55,1798,10.43
56,1799,10.11
57,1800,10.11
58,1801,10.47
59,1802,10.66
60,1803,10.48
61,1804,10.41
62,1805,10.63
63,1806,10.1
64,1807,9.88
65,1808,9.84
66,1809,9.04
67,1810,9.22
68,1811,9.37
69,1812,8.34
70,1813,9.67
71,1814,9.55
72,1815,8.86
73,1816,8.27
74,1817,8.54
75,1818,9.42
76,1819,9.19
77,1820,9.02
78,1821,9.08
79,1822,9.87
80,1823,9.31
81,1824,9.57
82,1825,10.87
83,1826,10.19
84,1827,10.58
85,1828,11.0
86,1829,9.94
87,1830,11.11
88,1831,9.02
89,1832,10.33
90,1833,10.7
91,1834,10.92
92,1835,9.44
93,1836,8.68
94,1837,9.42
95,1838,8.81
96,1839,10.57
97,1840,10.24
98,1841,9.83
99,1842,10.32
100,1843,8.78
101,1844,10.28
102,1845,10.6
103,1846,11.29
104,1847,9.23
105,1848,9.77
106,1849,9.34
107,1850,9.89
108,1851,10.17
109,1852,9.82
110,1853,10.21
111,1854,10.96
112,1855,9.71
113,1856,8.66
114,1857,8.76
115,1858,10.53
116,1859,9.76
117,1860,9.75
118,1861,9.62
119,1862,9.36
120,1863,9.73
121,1864,9.35
122,1865,9.92
123,1866,9.05
124,1867,9.43
125,1868,8.88
126,1869,8.73
127,1870,10.55
128,1871,9.91
129,1872,8.72
130,1873,8.84
131,1874,10.18
132,1875,7.8
133,1876,9.69
134,1877,10.68
135,1878,11.31
136,1879,10.11
137,1880,10.46
138,1881,10.25
139,1882,10.38
140,1883,8.42
141,1884,9.35
142,1885,7.96
143,1886,9.4
144,1887,9.64
145,1888,8.74
146,1889,10.02
147,1890,10.21
148,1891,10.29
149,1892,9.21
150,1893,8.91
151,1894,10.79
152,1895,9.32
153,1896,10.39
154,1897,10.05
155,1898,10.24
156,1899,10.12
157,1900,10.63
158,1901,9.87
159,1902,10.04
160,1903,9.57
161,1904,8.56
162,1905,9.42
163,1906,10.56
164,1907,9.32
165,1908,10.68
166,1909,9.89
167,1910,10.2
168,1911,10.87
169,1912,8.95
170,1913,10.83
171,1914,10.2
172,1915,9.98
173,1916,9.84
174,1917,8.06
175,1918,10.06
176,1919,10.64
177,1920,9.83
178,1921,12.28
179,1922,10.92
180,1923,10.12
181,1924,8.77
182,1925,9.93
183,1926,9.12
184,1927,10.54
185,1928,10.21
186,1929,9.28
187,1930,10.79
188,1931,12.39
189,1932,10.61
190,1933,11.09
191,1934,10.87
192,1935,10.01
193,1936,9.86
194,1937,9.99
195,1938,11.4
196,1939,11.35
197,1940,9.67
198,1941,11.41
199,1942,10.41
200,1943,9.72
201,1944,10.82
202,1945,9.96
203,1946,11.4
204,1947,10.22
205,1948,10.41
206,1949,11.18
207,1950,9.43
208,1951,9.42
209,1952,10.91
210,1953,11.67
211,1954,11.11
212,1955,11.01
213,1956,10.72
214,1957,10.42
215,1958,9.9
216,1959,10.43
217,1960,10.11
218,1961,10.58
219,1962,9.99
220,1963,9.89
221,1964,11.06
222,1965,10.34
223,1966,10.05
224,1967,9.84
225,1968,10.66
226,1969,10.03
227,1970,10.34
228,1971,10.58
229,1972,9.39
230,1973,11.55
231,1974,10.35
232,1975,10.82
233,1976,9.79
234,1977,10.46
235,1978,9.46
236,1979,9.37
237,1980,10.05
238,1981,10.54
239,1982,9.99
240,1983,10.94
241,1984,10.66
242,1985,10.11
243,1986,10.82
244,1987,12.04
245,1988,10.86
246,1989,9.8
247,1990,11.5
248,1991,11.58
249,1992,10.24
250,1993,10.18
251,1994,10.56
252,1995,10.57
253,1996,9.56
254,1997,10.14
255,1998,12.81
256,1999,11.72
257,2000,11.09
258,2001,11.7
259,2002,11.53
260,2003,10.48
261,2004,10.94
262,2005,11.58
263,2006,11.87
264,2007,11.45
265,2008,10.24
266,2009,10.3
267,2010,11.82
268,2011,11.21
269,2012,12.82
270,2013,11.59
